exp_id	timestamp	specialist	parent_exp	baseline_exp	domain	hypothesis	expected_delta	status	core_metric	val_bpb	delta_vs_best	train_s	total_s	job_name	snapshot_path	notes
000	2026-05-13T18:46:00Z	orionfold-curator		000	vertical-curator-finance	Quantize finance-Llama3-8B (Microsoft Instruction Pre-Training NeurIPS 2024) to five GGUF variants and ship as orionfoldllc/finance-Llama3-8B-GGUF with FinanceBench mini-eval + Spark perplexity + tok/s + sustained-load minutes on every card — the vertical-curator differentiation pattern.		baseline						orionfold-finance-llama3-8b-v0		hf_repo=instruction-pretrain/finance-Llama3-8B ; arch=LlamaForCausalLM (Llama-3 8B) ; license=Llama-3 Community License ; params=8.03B ; weight_bytes=32121044992 ; target_repo=orionfoldllc/finance-Llama3-8B-GGUF ; variants=Q4_K_M/Q5_K_M/Q6_K/Q8_0/F16 ; bench=FinanceBench (public open subset) (PatronusAI/financebench, CC-BY-NC-4.0, arxiv:2311.11944) ; bench_file=financebench_merged.jsonl ; bench_size=150 Q&A pairs (open subset; full bench is 10.2K) ; bench_scorer=fieldkit.eval.numeric_match (rel_tolerance=0.01) ; calibration=wikitext-2 raw test split (4,358 lines, 1.3 MB) @ /home/nvidia/data/calibration/wikitext-2-raw-v1/wiki.test.raw
001	2026-05-13T23:07:00Z	orionfold-curator/F16	000	000	vertical-curator-finance	F16 quant of instruction-pretrain/finance-Llama3-8B — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.0	7.088			1228.4	orionfold-finance-llama3-8b-f16	/home/nvidia/data/quants/finance-Llama3-8B/model-F16.gguf	tg_tok_per_s=10.3 ; pp_tok_per_s=1122.5 ; sustained_load_min=15.9 ; gguf_size_bytes=16068891616 ; bench=PatronusAI/financebench ; corpus=wikitext-2-raw-v1/wiki.test.raw
002	2026-05-13T23:17:50Z	orionfold-curator/Q4_K_M	000	000	vertical-curator-finance	Q4_K_M quant of instruction-pretrain/finance-Llama3-8B — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.0	7.2692	0.0		649.9	orionfold-finance-llama3-8b-q4_k_m	/home/nvidia/data/quants/finance-Llama3-8B/model-Q4_K_M.gguf	tg_tok_per_s=27.6 ; pp_tok_per_s=1049.6 ; sustained_load_min=6.0 ; gguf_size_bytes=4920734688 ; bench=PatronusAI/financebench ; corpus=wikitext-2-raw-v1/wiki.test.raw
003	2026-05-13T23:29:13Z	orionfold-curator/Q5_K_M	000	000	vertical-curator-finance	Q5_K_M quant of instruction-pretrain/finance-Llama3-8B — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.0	7.134	0.0		682.6	orionfold-finance-llama3-8b-q5_k_m	/home/nvidia/data/quants/finance-Llama3-8B/model-Q5_K_M.gguf	tg_tok_per_s=23.9 ; pp_tok_per_s=1030.9 ; sustained_load_min=6.4 ; gguf_size_bytes=5732987872 ; bench=PatronusAI/financebench ; corpus=wikitext-2-raw-v1/wiki.test.raw
004	2026-05-13T23:43:16Z	orionfold-curator/Q6_K	000	000	vertical-curator-finance	Q6_K quant of instruction-pretrain/finance-Llama3-8B — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.0	7.105	0.0		843.1	orionfold-finance-llama3-8b-q6_k	/home/nvidia/data/quants/finance-Llama3-8B/model-Q6_K.gguf	tg_tok_per_s=14.8 ; pp_tok_per_s=766.5 ; sustained_load_min=7.9 ; gguf_size_bytes=6596006880 ; bench=PatronusAI/financebench ; corpus=wikitext-2-raw-v1/wiki.test.raw
005	2026-05-13T23:58:14Z	orionfold-curator/Q8_0	000	000	vertical-curator-finance	Q8_0 quant of instruction-pretrain/finance-Llama3-8B — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.0	7.0898	0.0		897.9	orionfold-finance-llama3-8b-q8_0	/home/nvidia/data/quants/finance-Llama3-8B/model-Q8_0.gguf	tg_tok_per_s=18.3 ; pp_tok_per_s=1168.2 ; sustained_load_min=10.1 ; gguf_size_bytes=8540771296 ; bench=PatronusAI/financebench ; corpus=wikitext-2-raw-v1/wiki.test.raw
002	2026-05-14T06:57:10Z	orionfold-curator/Q4_K_M	000	000	vertical-curator-finance	Q4_K_M quant of instruction-pretrain/finance-Llama3-8B — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.0	7.2692	0.0		16044.3	orionfold-finance-llama3-8b-q4_k_m	/home/nvidia/data/quants/finance-Llama3-8B/model-Q4_K_M.gguf	sustained_load_min=1.2 ; gguf_size_bytes=4920734688 ; bench=PatronusAI/financebench ; corpus=wikitext-2-raw-v1/wiki.test.raw
003	2026-05-14T11:18:23Z	orionfold-curator/Q5_K_M	000	000	vertical-curator-finance	Q5_K_M quant of instruction-pretrain/finance-Llama3-8B — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.0	7.134	0.0		15673.0	orionfold-finance-llama3-8b-q5_k_m	/home/nvidia/data/quants/finance-Llama3-8B/model-Q5_K_M.gguf	sustained_load_min=0.5 ; gguf_size_bytes=5732987872 ; bench=PatronusAI/financebench ; corpus=wikitext-2-raw-v1/wiki.test.raw
004	2026-05-14T15:40:51Z	orionfold-curator/Q6_K	000	000	vertical-curator-finance	Q6_K quant of instruction-pretrain/finance-Llama3-8B — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.0	7.105	0.0		15747.6	orionfold-finance-llama3-8b-q6_k	/home/nvidia/data/quants/finance-Llama3-8B/model-Q6_K.gguf	sustained_load_min=0.5 ; gguf_size_bytes=6596006880 ; bench=PatronusAI/financebench ; corpus=wikitext-2-raw-v1/wiki.test.raw
005	2026-05-14T20:06:33Z	orionfold-curator/Q8_0	000	000	vertical-curator-finance	Q8_0 quant of instruction-pretrain/finance-Llama3-8B — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.0	7.0898	0.0		15942.3	orionfold-finance-llama3-8b-q8_0	/home/nvidia/data/quants/finance-Llama3-8B/model-Q8_0.gguf	sustained_load_min=0.7 ; gguf_size_bytes=8540771296 ; bench=PatronusAI/financebench ; corpus=wikitext-2-raw-v1/wiki.test.raw
